Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
D1_1 - illumina_universal_adapter	(1, 0.00014263101286787565)	(2, 0.00021055054280495931)	(3, 0.0005093964745281274)	(4, 0.0012768871628171727)	(5, 0.00167534840511473)	(6, 0.0022662483155673576)	(7, 0.002700933307164693)	(8, 0.00323976157799889)	(9, 0.003918956877369727)	(10, 0.005215087907002406)	(12, 0.007127022674731311)	(14, 0.009278939781571245)	(16, 0.011601787705419506)	(18, 0.013973311292389342)	(20, 0.01600523722967376)	(22, 0.017759825086381756)	(24, 0.019166891348245008)	(26, 0.020391706871443746)	(28, 0.02142861169514989)	(30, 0.022391937028090864)	(32, 0.023539777084027574)	(34, 0.02479176041920115)	(36, 0.025993936099087532)	(38, 0.027630796770571245)	(40, 0.030083823793465584)	(42, 0.03389184543860474)	(44, 0.03837906238311473)	(46, 0.04326134459342543)	(48, 0.0496899281019704)	(50, 0.05855455875092543)	(52, 0.07063517914240137)	(54, 0.08492092027250131)	(56, 0.09942400389839989)	(58, 0.11663820876095375)	(60, 0.13951237445159792)	(62, 0.1691581172769693)	(64, 0.20470719924603886)	(66, 0.23980801231752372)	(68, 0.2755201011584423)	(70, 0.31738569941166067)	(72, 0.3704976398302945)	(74, 0.43559284931416103)	(76, 0.5025864096597691)	(78, 0.5637354944542912)	(80, 0.6322515842626555)	(82, 0.7133361830858771)	(84, 0.806833076005101)	(86, 0.9114370760533691)	(88, 1.0077447055198225)	(90, 1.1033414439062676)	(92, 1.2125017124211486)	(94, 1.3456681387922915)	(96, 1.4962072489291751)	(98, 1.6497959459602334)	(100, 1.8036653770483653)	(102, 1.97694507780035)	(104, 2.1834555405662184)	(106, 2.420087182867018)	(108, 2.6495997264382454)	(110, 2.875351792035289)	(112, 3.118751615494319)	(114, 3.392008864313691)	(116, 3.6918566091034313)	(118, 3.9964802288399137)	(120, 4.293162923534586)	(122, 4.60443812923624)	(124, 4.954969691249364)	(126, 5.354707820709738)	(128, 5.779303366134919)	(130, 6.207430727116829)	(132, 6.65299529541792)	(134, 7.138978775984569)	(136, 7.682769700472836)	(138, 8.266388637316208)
D1_1 - polya	(1, 0.0007471148293079202)	(2, 0.0017930755903390082)	(3, 0.0029295957246195416)	(4, 0.0047634230329208)	(5, 0.006773841119058476)	(6, 0.00855786077207254)	(7, 0.010611294560503703)	(8, 0.014057078712645079)	(9, 0.019144251504932645)	(10, 0.02577772559545448)	(12, 0.03112638857799982)	(14, 0.03717915068755959)	(16, 0.04306324596444227)	(18, 0.04823192219265433)	(20, 0.05349794974710956)	(22, 0.05925073393278054)	(24, 0.06570082529247225)	(26, 0.07240787887375927)	(28, 0.07846290496765027)	(30, 0.08457453066982218)	(32, 0.09002620493943875)	(34, 0.09496621875019598)	(36, 0.10027865798344153)	(38, 0.10692571597995079)	(40, 0.1130497935959445)	(42, 0.1185410875913577)	(44, 0.12399049787664307)	(46, 0.12927350531358256)	(48, 0.1340267404170128)	(50, 0.1390165618830572)	(52, 0.14387620425005554)	(54, 0.1495169212113303)	(56, 0.1546188099017709)	(58, 0.15985427366775445)	(60, 0.1643301706906083)	(62, 0.1690754818488792)	(64, 0.1736408062528168)	(66, 0.17834083772446302)	(68, 0.1833057553628638)	(70, 0.18897930009694155)	(72, 0.19453738163012624)	(74, 0.19989283656566526)	(76, 0.20437212956501594)	(78, 0.2091389485744336)	(80, 0.21456345503207536)	(82, 0.2202766194919497)	(84, 0.22537624419805907)	(86, 0.23052001659862753)	(88, 0.23594225907193805)	(90, 0.24143128908302003)	(92, 0.2464448823845424)	(94, 0.2512150973704569)	(96, 0.25552119556846803)	(98, 0.25969371869093616)	(100, 0.26384699794658883)	(102, 0.26806027278701927)	(104, 0.2722248719643281)	(106, 0.2762728759485783)	(108, 0.2802371125125728)	(110, 0.28457264250688996)	(112, 0.2900514845884813)	(114, 0.2948726392218487)	(116, 0.29956248276400427)	(118, 0.30409837537163587)	(120, 0.3083150461885631)	(122, 0.31200081267981555)	(124, 0.3159254295180134)	(126, 0.3202337917003557)	(128, 0.3244912142352452)	(130, 0.3291901137147258)	(132, 0.333329809064391)	(134, 0.33825737096132646)	(136, 0.34305022579055333)	(138, 0.3468412675532082)
D1_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0033371129042420434)	(4, 0.0042517625740614365)	(5, 0.004543816552790896)	(6, 0.004704559440308661)	(7, 0.004869830296488898)	(8, 0.005125660525918579)	(9, 0.005494689971910067)	(10, 0.006004086446438194)	(12, 0.006527066826953739)	(14, 0.0070591031447942276)	(16, 0.007557179697666174)	(18, 0.008054124258372503)	(20, 0.008527296983600852)	(22, 0.008938210139720208)	(24, 0.009409118880617321)	(26, 0.010031714571707255)	(28, 0.01137765325662713)	(30, 0.012487005578932828)	(32, 0.013178652792125465)	(34, 0.013705029149137862)	(36, 0.014220085584494079)	(38, 0.01474646194150648)	(40, 0.015276234275015732)	(42, 0.015880718091455776)	(44, 0.01642067835445559)	(46, 0.01740664353070892)	(48, 0.018345065036006296)	(50, 0.019337822165253333)	(52, 0.019932118052202817)	(54, 0.020630557218389158)	(56, 0.021297300603938196)	(58, 0.02198894781713083)	(60, 0.022973781001218545)	(62, 0.024478198589324946)	(64, 0.0256599984102302)	(66, 0.02690971776107254)	(68, 0.028243204532170618)	(70, 0.03387373356395485)	(72, 0.0484119089469876)	(74, 0.05176600173371392)	(76, 0.05397791442533161)	(78, 0.05608002387688435)	(80, 0.05820930114041192)	(82, 0.06091136643974224)	(84, 0.06370172712799076)	(86, 0.06667207457057255)	(88, 0.06975562122971614)	(90, 0.07271464875064176)	(92, 0.0757574436918231)	(94, 0.07843234117917858)	(96, 0.0811977980397835)	(98, 0.08350706205764435)	(100, 0.08552540408894135)	(102, 0.08742941491151093)	(104, 0.08961076381465694)	(106, 0.091883804083218)	(108, 0.09439795868305571)	(110, 0.09747358139703999)	(112, 0.1014729097181686)	(114, 0.10651593481599705)	(116, 0.1123479584532613)	(118, 0.11886936531938695)	(120, 0.12717252785419542)	(122, 0.1378200461639989)	(124, 0.15146734371269024)	(126, 0.16723486258758422)	(128, 0.18393967097560993)	(130, 0.2038061334822069)	(132, 0.22885032815434087)	(134, 0.26058120054878076)	(136, 0.2973539660488834)	(138, 0.33493384196307185)
D1_1_val_1 - polya	(1, 0.0007478040733386411)	(2, 0.0017924637030632276)	(3, 0.0029300323237177665)	(4, 0.004765551412821704)	(5, 0.006777824191987501)	(6, 0.008563489676202195)	(7, 0.010618817841408704)	(8, 0.014067780870564496)	(9, 0.01915964678811579)	(10, 0.025794708384284097)	(12, 0.03114377358160489)	(14, 0.03719985353917313)	(16, 0.04308484498905328)	(18, 0.048246959168039415)	(20, 0.053513312702703056)	(22, 0.05927027103093584)	(24, 0.06572178071819376)	(26, 0.07243048968522117)	(28, 0.07848430356983989)	(30, 0.0845947692781964)	(32, 0.09004467472177043)	(34, 0.09497791553285595)	(36, 0.10028279230766128)	(38, 0.10692805123210239)	(40, 0.11303851694045888)	(42, 0.11851108311352804)	(44, 0.1239451260464555)	(46, 0.1292092135081696)	(48, 0.13394077382674868)	(50, 0.1389091387685516)	(52, 0.14375286969813145)	(54, 0.14938519401414113)	(56, 0.1544589313480963)	(58, 0.15965730269427464)	(60, 0.16410673693063954)	(62, 0.1688450954680671)	(64, 0.17339423691421052)	(66, 0.17806801237257702)	(68, 0.18302164784020813)	(70, 0.18867549984923815)	(72, 0.1942069839189946)	(74, 0.199525457131497)	(76, 0.2039748913678619)	(78, 0.20869965346759242)	(80, 0.21408837494152966)	(82, 0.21979321359192366)	(84, 0.2248567535976061)	(86, 0.22998261060940006)	(88, 0.23537926333866058)	(90, 0.24082463663633558)	(92, 0.2458190614170579)	(94, 0.2505676172827583)	(96, 0.2548470960479099)	(98, 0.25898947739961603)	(100, 0.26309220247470577)	(102, 0.26726970795712934)	(104, 0.27139849287113843)	(106, 0.27539244644465166)	(108, 0.27929689013665915)	(110, 0.2836058278501544)	(112, 0.28904100381955655)	(114, 0.2938167525606511)	(116, 0.29844860566945164)	(118, 0.3029320310000593)	(120, 0.3070891418259372)	(122, 0.3107273219463772)	(124, 0.31460797187241485)	(126, 0.3188625238351218)	(128, 0.32306835522941424)	(130, 0.327690011009942)	(132, 0.33175194677194053)	(134, 0.33660247592036896)	(136, 0.34123206295622)	(138, 0.34350266805163004)
D1_2 - illumina_universal_adapter	(1, 0.00014036702853663954)	(2, 0.00019696663681754257)	(3, 0.00047317272522834944)	(4, 0.0011908557582302)	(5, 0.0015757330945403406)	(6, 0.002155313083336788)	(7, 0.002587734090602887)	(8, 0.0031220343927746115)	(9, 0.0037967017234829758)	(10, 0.005082644823625093)	(12, 0.007008163497341414)	(14, 0.009126120839212805)	(16, 0.011417272982423763)	(18, 0.013793324538056071)	(20, 0.015833174420499817)	(22, 0.01762738200300444)	(24, 0.01908199193582365)	(26, 0.020376990973290713)	(28, 0.021504455170246302)	(30, 0.02256286784509919)	(32, 0.02379900328995411)	(34, 0.025156261896530165)	(36, 0.02647163679297835)	(38, 0.028221696681023874)	(40, 0.030791318896976873)	(42, 0.0346412242522439)	(44, 0.03917824885204109)	(46, 0.04414203449827628)	(48, 0.0506045777717898)	(50, 0.0594488325617637)	(52, 0.07138342596387491)	(54, 0.08558766365805034)	(56, 0.1000443356051586)	(58, 0.11711024949401648)	(60, 0.13976141272803388)	(62, 0.16909246173136344)	(64, 0.20410837539042692)	(66, 0.23885713889840454)	(68, 0.2741786904421849)	(70, 0.31542735296514146)	(72, 0.3678385902332576)	(74, 0.43201915004730485)	(76, 0.49801768927933465)	(78, 0.558211372686075)	(80, 0.6257414973181861)	(82, 0.7056522202656618)	(84, 0.7980035371132801)	(86, 0.9011506632443977)	(88, 0.9958565237965016)	(90, 1.0899216767828657)	(92, 1.1973194334958792)	(94, 1.3286248647467462)	(96, 1.4769441382468524)	(98, 1.628212251338394)	(100, 1.7797701544243336)	(102, 1.9505979601455896)	(104, 2.154035064181805)	(106, 2.387150738816195)	(108, 2.613246930031587)	(110, 2.8355577394451523)	(112, 3.0751744450866862)	(114, 3.3447029117125124)	(116, 3.6398993006937275)	(118, 3.9396927098595187)	(120, 4.2316866930042)	(122, 4.5378203902896175)	(124, 4.882317302067831)	(126, 5.275641563917813)	(128, 5.693021791279346)	(130, 6.11395081408009)	(132, 6.552456279236386)	(134, 7.030272436328101)	(136, 7.56538777285907)	(138, 8.139917944604695)
D1_2 - polya	(1, 0.0007108910800081422)	(2, 0.00223002456626758)	(3, 0.0032329696250051818)	(4, 0.004518912725147299)	(5, 0.005687128640065138)	(6, 0.006647057996509253)	(7, 0.007509636026710216)	(8, 0.009434022708260919)	(9, 0.011568959932616581)	(10, 0.014602698936472985)	(12, 0.016825931549746855)	(14, 0.019599312355511107)	(16, 0.022659087179176723)	(18, 0.025569439036980758)	(20, 0.028461679020134904)	(22, 0.03125430369271466)	(24, 0.03403108047497576)	(26, 0.03665164233838157)	(28, 0.039436343065802)	(30, 0.04252894566227054)	(32, 0.0453091184210285)	(34, 0.04790477645679071)	(36, 0.050923799562494085)	(38, 0.054646921795211884)	(40, 0.05796592282480404)	(42, 0.060881934643436164)	(44, 0.06404132477767618)	(46, 0.0671961869432537)	(48, 0.0704676443018899)	(50, 0.07408435927103961)	(52, 0.0773365727628603)	(54, 0.08042804336716322)	(56, 0.08345499041802591)	(58, 0.08642420586844209)	(60, 0.08973867892937176)	(62, 0.09278713383138121)	(64, 0.0959023762711621)	(66, 0.10017791068070153)	(68, 0.10577108397102036)	(70, 0.109420626712973)	(72, 0.11258114883937861)	(74, 0.11569525928699391)	(76, 0.11880597375811233)	(78, 0.12182273287948447)	(80, 0.12481798414970985)	(82, 0.12801925799407773)	(84, 0.13095111770302853)	(86, 0.13430181451325796)	(88, 0.13732649757978943)	(90, 0.14051871548683237)	(92, 0.14330115222992157)	(94, 0.14638017092040267)	(96, 0.14937542219062805)	(98, 0.15272045904002945)	(100, 0.15628849834605757)	(102, 0.15973428249819893)	(104, 0.162822357126005)	(106, 0.16608475854731627)	(108, 0.1689090790005333)	(110, 0.17161340828419486)	(112, 0.17448640440053353)	(114, 0.17744882789795596)	(116, 0.18063651783633644)	(118, 0.18395325488159736)	(120, 0.18719301645959624)	(122, 0.1910327338853727)	(124, 0.19479094787522466)	(126, 0.19881970799265936)	(128, 0.20236963542403757)	(130, 0.20576674391305738)	(132, 0.20914121255876483)	(134, 0.2121228799230028)	(136, 0.2154520688820855)	(138, 0.21859787511033812)
D1_2 - polyg	(1, 0.07184527876744709)	(2, 0.07479298636671651)	(3, 0.07539520619882532)	(4, 0.07586837892405367)	(5, 0.07611062524749594)	(6, 0.0764026792262254)	(7, 0.07686453202979757)	(8, 0.07740336030063176)	(9, 0.07818443489490823)	(10, 0.07913644030619302)	(12, 0.08126458557755498)	(14, 0.08302143741859419)	(16, 0.08388741142529202)	(18, 0.08455302281867544)	(20, 0.08519146640008401)	(22, 0.08577217838104609)	(24, 0.086356286338505)	(26, 0.08691888644481718)	(28, 0.08765015338380645)	(30, 0.08830784083203054)	(32, 0.0888195012908899)	(34, 0.08935493358522725)	(36, 0.08996620935466101)	(38, 0.09058427707708847)	(40, 0.09116046108938805)	(42, 0.09176154892933125)	(44, 0.09235810880061196)	(46, 0.09294334875023649)	(48, 0.09356934041782329)	(50, 0.09418061618725704)	(52, 0.0948054758626782)	(54, 0.09542580756943692)	(56, 0.09599180365224594)	(58, 0.09658270356269857)	(60, 0.09721322319894783)	(62, 0.09780751908589731)	(64, 0.0984584145811277)	(66, 0.09909912214686752)	(68, 0.09962889448037676)	(70, 0.10019941853184827)	(72, 0.10074617074784178)	(74, 0.10126462315969487)	(76, 0.10184533514065693)	(78, 0.10272828902983902)	(80, 0.10445231309807532)	(82, 0.10633594806166377)	(84, 0.10854220079245339)	(86, 0.11115936667936233)	(88, 0.11406858654500075)	(90, 0.117004974222614)	(92, 0.12013606455271356)	(94, 0.12325809894548817)	(96, 0.12605977955539288)	(98, 0.12858525407688676)	(100, 0.13069641946576444)	(102, 0.1327113655205646)	(104, 0.13457575661733756)	(106, 0.13635524830168916)	(108, 0.13835547845833623)	(110, 0.1404768317767045)	(112, 0.1425891291577478)	(114, 0.14518139121701318)	(116, 0.14864302325947318)	(118, 0.15341776621405018)	(120, 0.15898829966105665)	(122, 0.1650025740369854)	(124, 0.17270464873185068)	(126, 0.18295030982285976)	(128, 0.19643799647619897)	(130, 0.21201873664376594)	(132, 0.22803416180293026)	(134, 0.2472485968221312)	(136, 0.27198149364872026)	(138, 0.30381650932239695)
D1_2_val_2 - polya	(1, 0.0007070147602474424)	(2, 0.002223017563470324)	(3, 0.0032155575153561566)	(4, 0.004491356585930868)	(5, 0.005658384154929051)	(6, 0.006610134793723685)	(7, 0.007473508587487389)	(8, 0.009379275938026168)	(9, 0.01150938451056654)	(10, 0.01452439456989097)	(12, 0.01673154962271472)	(14, 0.01949275951169391)	(16, 0.022537228519361983)	(18, 0.02542193938408953)	(20, 0.028287388628746232)	(22, 0.031058795845998226)	(24, 0.03379734500548231)	(26, 0.03637953513145013)	(28, 0.03912035036388373)	(30, 0.04218861313752167)	(32, 0.04494302480765233)	(34, 0.047493489912327)	(36, 0.05049037138805534)	(38, 0.05418180422280881)	(40, 0.05746874303607457)	(42, 0.060343256572529314)	(44, 0.06345684080515747)	(46, 0.06656022770951284)	(48, 0.0697882486260913)	(50, 0.07335731352157118)	(52, 0.07656720585455355)	(54, 0.07961167486222162)	(56, 0.08260062508262668)	(58, 0.08553745562519299)	(60, 0.08880853192781216)	(62, 0.09180881251296477)	(64, 0.09489180476077454)	(66, 0.09911916384808736)	(68, 0.10468237293913696)	(70, 0.10828316285590998)	(72, 0.111365022067245)	(74, 0.11444348216915573)	(76, 0.11749928154157135)	(78, 0.12043044690176388)	(80, 0.12336841048080494)	(82, 0.12651938491710002)	(84, 0.12938936630765574)	(86, 0.13267970423034578)	(88, 0.13564486068478096)	(90, 0.1387743074280557)	(92, 0.14149132889451943)	(94, 0.14452106842801568)	(96, 0.14746583022590526)	(98, 0.15073464045557494)	(100, 0.15423572316256948)	(102, 0.15761783703971471)	(104, 0.16062491584371585)	(106, 0.16381101441072835)	(108, 0.1665733573361823)	(110, 0.1692076671399889)	(112, 0.17201306545148354)	(114, 0.1748921111338373)	(116, 0.178007961439415)	(118, 0.181247312720741)	(120, 0.18440395233940987)	(122, 0.18816676647207295)	(124, 0.19185140108797788)	(126, 0.19582382696847073)	(128, 0.1993033819824449)	(130, 0.202602784196933)	(132, 0.20588745693724925)	(134, 0.20878916334909808)	(136, 0.21196959673373683)	(138, 0.21389009355844743)
D2_1 - illumina_universal_adapter	(1, 0.0001603992483107954)	(2, 0.00025032003903048376)	(3, 0.0005225127028306214)	(4, 0.0013706844855649791)	(5, 0.001932081854652763)	(6, 0.002714635763078159)	(7, 0.0033003360485766692)	(8, 0.0040294235408984665)	(9, 0.004880025615273897)	(10, 0.0064937392649461415)	(12, 0.009033394029867069)	(14, 0.01198255293630874)	(16, 0.014953584467520063)	(18, 0.018057066893169847)	(20, 0.02089321723830164)	(22, 0.023242094109398363)	(24, 0.025110988381383238)	(26, 0.026712550572850116)	(28, 0.027926481247565912)	(30, 0.02906750317304952)	(32, 0.030512311553667217)	(34, 0.03204218014172246)	(36, 0.03338613141923564)	(38, 0.03539112202312058)	(40, 0.038492174157129286)	(42, 0.043124310025013775)	(44, 0.04907366396235964)	(46, 0.05536204358363515)	(48, 0.06365055322551344)	(50, 0.07521874143701929)	(52, 0.091213705872739)	(54, 0.11007398415328336)	(56, 0.1297265375088174)	(58, 0.15296741647239523)	(60, 0.1840326193744065)	(62, 0.22539861339710418)	(64, 0.2759863490518521)	(66, 0.3267101810385001)	(68, 0.3786637405955308)	(70, 0.4396847182654037)	(72, 0.5174370387382412)	(74, 0.6151469141675674)	(76, 0.7170587638443082)	(78, 0.8107246339828895)	(80, 0.9102426463931738)	(82, 1.0316879651350361)	(84, 1.1823320227985659)	(86, 1.3456755694325209)	(88, 1.4981387003893936)	(90, 1.6506042616379073)	(92, 1.8279389972495175)	(94, 2.041882430996426)	(96, 2.2802879652565506)	(98, 2.512151154418908)	(100, 2.7388232406359343)	(102, 2.9893255515394985)	(104, 3.2865161951597095)	(106, 3.6192838781135834)	(108, 3.9511511380144397)	(110, 4.2743143084027935)	(112, 4.62054580704821)	(114, 5.017521795159224)	(116, 5.4653710781928115)	(118, 5.9280062555706845)	(120, 6.382564358679453)	(122, 6.856359435273131)	(124, 7.3875592155747665)	(126, 7.98601974733473)	(128, 8.613337562040789)	(130, 9.241100120117164)	(132, 9.884216045636016)	(134, 10.584628526884797)	(136, 11.36361841261856)	(138, 12.194018687727574)
D2_1 - polya	(1, 0.0006197243684735277)	(2, 0.0015116414007471932)	(3, 0.00269762372159065)	(4, 0.004211695413978916)	(5, 0.006058717061194136)	(6, 0.007550916128812748)	(7, 0.009478137400183365)	(8, 0.012464965827061662)	(9, 0.01729152502623196)	(10, 0.02339520248278594)	(12, 0.028385806367728646)	(14, 0.033990058892042194)	(16, 0.0393755851686592)	(18, 0.044254395638112565)	(20, 0.04930940225154369)	(22, 0.05453938986313205)	(24, 0.060641852173865494)	(26, 0.06715017318865807)	(28, 0.07264263229748227)	(30, 0.0782529605508985)	(32, 0.08319495860301976)	(34, 0.08781980359598102)	(36, 0.09256616317099592)	(38, 0.09852888371236769)	(40, 0.10436279879676261)	(42, 0.10939714793124461)	(44, 0.11432213394187836)	(46, 0.11942696153395148)	(48, 0.12384644688324212)	(50, 0.12827808369073812)	(52, 0.1325359546458974)	(54, 0.13742570142773558)	(56, 0.14217813673185317)	(58, 0.14733157015674775)	(60, 0.15163318636144635)	(62, 0.15598462354478693)	(64, 0.16034699704051236)	(66, 0.16475554607741816)	(68, 0.16939861825768748)	(70, 0.17456663343242848)	(72, 0.17964594296227032)	(74, 0.18487471542803813)	(76, 0.1889369479060911)	(78, 0.19320332488199415)	(80, 0.19840171870224857)	(82, 0.20363535175129854)	(84, 0.20836469928482593)	(86, 0.21342699677318028)	(88, 0.21896320113154377)	(90, 0.2243620940121867)	(92, 0.2291825774822543)	(94, 0.2336749715807771)	(96, 0.2375500716024675)	(98, 0.24149686522756947)	(100, 0.24527839902107854)	(102, 0.2492276229378216)	(104, 0.25327041308274595)	(106, 0.2570009107517925)	(108, 0.26081646862827657)	(110, 0.2648556133357393)	(112, 0.2701269159052259)	(114, 0.27463024631613353)	(116, 0.27898168349947416)	(118, 0.2831241156016825)	(120, 0.28694939464473085)	(122, 0.2902533761307691)	(124, 0.2937590718230164)	(126, 0.29763417184470675)	(128, 0.3015979775112963)	(130, 0.3060077416940227)	(132, 0.30981479354976293)	(134, 0.3141953942327964)	(136, 0.3182491206901056)	(138, 0.3215664687801698)
