Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
D1_1	(150, 44169917.0)																										
D1_1_val_1	(20, 2735.0)	(25, 2774.0)	(30, 3028.0)	(35, 3925.0)	(40, 6869.0)	(45, 9829.0)	(50, 17123.0)	(55, 23239.0)	(60, 39467.0)	(65, 44618.0)	(70, 69648.0)	(75, 76196.0)	(80, 102269.0)	(85, 114480.0)	(90, 141276.0)	(95, 176353.0)	(100, 218930.0)	(105, 265795.0)	(110, 296793.0)	(115, 345130.0)	(120, 380526.0)	(125, 479152.0)	(130, 534017.0)	(135, 659618.0)	(140, 727696.0)	(145, 12650505.0)	(150, 26737215.0)
D1_2	(150, 44169917.0)																										
D1_2_val_2	(20, 4929.0)	(25, 4331.0)	(30, 4291.0)	(35, 4949.0)	(40, 7706.0)	(45, 10593.0)	(50, 17963.0)	(55, 23290.0)	(60, 39697.0)	(65, 44813.0)	(70, 69626.0)	(75, 76196.0)	(80, 102585.0)	(85, 114880.0)	(90, 141479.0)	(95, 176539.0)	(100, 219001.0)	(105, 265997.0)	(110, 296443.0)	(115, 345152.0)	(120, 380929.0)	(125, 479482.0)	(130, 534488.0)	(135, 661285.0)	(140, 733776.0)	(145, 14226502.0)	(150, 25142284.0)
D2_1	(150, 41147325.0)																										
D2_1_val_1	(20, 3307.0)	(25, 3009.0)	(30, 3212.0)	(35, 4235.0)	(40, 7675.0)	(45, 11400.0)	(50, 20604.0)	(55, 28492.0)	(60, 51119.0)	(65, 59486.0)	(70, 95641.0)	(75, 106029.0)	(80, 147454.0)	(85, 167256.0)	(90, 210877.0)	(95, 249711.0)	(100, 294971.0)	(105, 354169.0)	(110, 399342.0)	(115, 489325.0)	(120, 539134.0)	(125, 664003.0)	(130, 720435.0)	(135, 875371.0)	(140, 943148.0)	(145, 11362614.0)	(150, 23291768.0)
D2_2	(150, 41147325.0)																										
D2_2_val_2	(20, 5221.0)	(25, 4356.0)	(30, 4561.0)	(35, 5112.0)	(40, 8582.0)	(45, 12197.0)	(50, 21387.0)	(55, 28695.0)	(60, 51470.0)	(65, 59706.0)	(70, 95561.0)	(75, 106055.0)	(80, 147801.0)	(85, 167560.0)	(90, 211198.0)	(95, 250011.0)	(100, 294996.0)	(105, 354344.0)	(110, 399547.0)	(115, 489583.0)	(120, 539545.0)	(125, 663942.0)	(130, 720849.0)	(135, 877018.0)	(140, 948982.0)	(145, 12713353.0)	(150, 21922155.0)
D3_1	(150, 45760059.0)																										
D3_1_val_1	(20, 2523.0)	(25, 2470.0)	(30, 2615.0)	(35, 3140.0)	(40, 5198.0)	(45, 7098.0)	(50, 12488.0)	(55, 17924.0)	(60, 32518.0)	(65, 38830.0)	(70, 63749.0)	(75, 74646.0)	(80, 107094.0)	(85, 125257.0)	(90, 171402.0)	(95, 224944.0)	(100, 283803.0)	(105, 353381.0)	(110, 412776.0)	(115, 509380.0)	(120, 575472.0)	(125, 730602.0)	(130, 811717.0)	(135, 1009418.0)	(140, 1095270.0)	(145, 12845245.0)	(150, 26205189.0)
