Sample	picard_mark_duplicates-PERCENT_DUPLICATION	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
D1	28.7405	100.0	39.155853	ISR	44.169917	41.691857999999996	94.38999999999999	39.784637	90.07	1.9072209999999998							
D1_1											2.550951106986836	65.69377373520604	51.0	150.0	150	18.181818181818183	44.169917
D1_1_val_1												65.69358495951107	51.0	146.10606158424875	150	18.181818181818183	44.129205999999996
D1_2											2.629626162379552	71.00476067684146	52.0	150.0	150	9.090909090909092	44.169917
D1_2_val_2												71.03533512941388	52.0	145.95380621622786	150	18.181818181818183	44.129205999999996
D2	27.8584	100.0	35.356145999999995	ISR	41.147324999999995	37.863375999999995	92.02000000000001	36.077726	87.68	1.78565							
D2_1											3.6094744757607775	64.9388231401379	52.0	150.0	150	27.27272727272727	41.147324999999995
D2_1_val_1												64.94293107595263	52.0	144.5406074627625	150	18.181818181818183	41.103787
D2_2											3.6794806790801915	70.15084385158532	52.0	150.0	150	18.181818181818183	41.147324999999995
D2_2_val_2												70.19807073160439	52.0	144.39671851890435	150	18.181818181818183	41.103787
D3	30.2782	100.0	39.706924	ISR	45.760059	42.519197	92.92	40.497647	88.5	2.02155							
D3_1											3.0875659054547984	66.68213574872786	51.0	150.0	150	27.27272727272727	45.760059
D3_1_val_1												66.69093789644343	51.0	145.29406177685232	150	18.181818181818183	45.724149
D3_2											3.1561732616355824	71.68659824534888	52.0	150.0	150	18.181818181818183	45.760059
D3_2_val_2												71.71522653474973	52.0	145.156467078261	150	18.181818181818183	45.724149
D4	25.4369	100.0	29.337325	ISR	34.131858	31.407085	92.02	29.945895999999998	87.74	1.4611889999999998							
D4_1											3.5194497566857725	61.514976391431	51.0	150.0	150	27.27272727272727	34.131858
D4_1_val_1												61.52178010974742	51.0	144.65783370815723	150	18.181818181818183	34.100013
D4_2											3.5974776800411314	66.72881280077173	52.0	150.0	150	18.181818181818183	34.131858
D4_2_val_2												66.77171581306872	52.0	144.5110074298212	150	18.181818181818183	34.100013
D5	27.814899999999998	100.0	39.678902	ISR	46.424882	42.630002999999995	91.83	40.584782	87.42	2.0452209999999997							
D5_1											3.4960362993850294	65.45584297400669	51.0	150.0	150	27.27272727272727	46.424882
D5_1_val_1												65.47492956161021	51.0	144.6821398315143	150	18.181818181818183	46.382334
D5_2											3.5865769567276446	70.04781248589853	52.0	150.0	150	18.181818181818183	46.424882
D5_2_val_2												70.09266507808785	52.0	144.5334313598794	150	18.181818181818183	46.382334
D6	29.440499999999997	100.0	37.376425999999995	ISR	45.178447	40.414941999999996	89.46	38.396603999999996	84.99	2.018338							
D6_1											4.522787543656234	65.14502185682697	51.0	150.0	150	27.27272727272727	45.178447
D6_1_val_1												65.14867946100433	51.0	143.14074102756527	150	18.181818181818183	45.143097999999995
D6_2											4.589910081090953	70.00632452177095	52.0	150.0	150	18.181818181818183	45.178447
D6_2_val_2												70.04166304428547	52.0	143.02133774691316	147	18.181818181818183	45.143097999999995
D7	27.686899999999998	100.0	40.282959999999996	ISR	46.424192999999995	43.128777	92.91000000000001	41.152738	88.65	1.9760389999999999							
D7_1											3.084022332924559	64.70971296582162	51.0	150.0	150	27.27272727272727	46.424192999999995
D7_1_val_1												64.71588617642749	51.0	145.31933479768378	150	18.181818181818183	46.372779
D7_2											3.157362239985518	69.6120431809419	52.0	150.0	150	9.090909090909092	46.424192999999995
D7_2_val_2												69.65493232561543	52.0	145.17996016585505	150	18.181818181818183	46.372779
D8	61.251400000000004	100.0	27.172206	ISR	31.264138	29.043284	92.89	27.763412	88.8	1.279872							
D8_1											3.1079409897691725	75.62923290711353	51.0	150.0	150	27.27272727272727	31.264138
D8_1_val_1												75.6338567541612	51.0	145.2784993916006	150	18.181818181818183	31.232771999999997
D8_2											3.1825779428174226	77.618121137108	52.0	150.0	150	18.181818181818183	31.264138
D8_2_val_2												77.63755627337767	52.0	145.1375237843122	150	18.181818181818183	31.232771999999997
D9	28.1116	100.0	39.753885	ISR	45.919571	42.567204	92.7	40.600452	88.42	1.9667519999999998							
D9_1											3.3137030541218833	64.34421470007209	51.0	150.0	150	27.27272727272727	45.919571
D9_1_val_1												64.34792358909888	51.0	144.996760004741	150	18.181818181818183	45.863955999999995
D9_2											3.375167725325657	69.78264532094869	52.0	150.0	150	18.181818181818183	45.919571
D9_2_val_2												69.8275343533299	52.0	144.8477774464113	150	18.181818181818183	45.863955999999995
