	D1	D2	D3	D4	D5	D6	D7	D8	D9
ENSMUSG00000000001	18475	16401	18433	14135	18203	17003	19951	13746	20042
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	3407	3115	3354	2085	3031	2677	3026	1884	2988
ENSMUSG00000000031	9	4	4	1	1	2	5	4	8
ENSMUSG00000000037	319	308	369	200	274	262.001	279	214	283
ENSMUSG00000000049	7	1	4	3	3	3	2	4	3
ENSMUSG00000000056	4918	4314	4838	2806	4110	3769	4129	2946	4094
ENSMUSG00000000058	3300	2847	3672	2653	3430	3120	4438	2826.001	4375
ENSMUSG00000000078	5568	4881	5491.001	4537	5847	5435	6946	4706	6821.001
ENSMUSG00000000085	1469.999	1348.001	1463.999	993.998	1373.001	1282.001	1431.999	984	1476.999
ENSMUSG00000000088	4953.999	4757	5359	3898	5394.001	5196	5303	3588	5137
ENSMUSG00000000093	209	201	208	221	297	301	368	268	397
ENSMUSG00000000094	0	2	0	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	0	2	0	0	2	6
ENSMUSG00000000125	0	0	0	0	0	2	1	0	5
ENSMUSG00000000126	425	390	422	192	239	219	225	120	221
ENSMUSG00000000127	1417.001	1264	1436	1294	1680	1678	1683	1112	1659
ENSMUSG00000000131	2048.999	1994	2090.001	1789.999	2503	2184.999	2509.001	1582.001	2395
ENSMUSG00000000134	2404	2152	2252	1804.001	2427.999	2310	2410	1597.999	2354
ENSMUSG00000000142	16	12	12	6	16	12	16	16	13
ENSMUSG00000000148	422	392	423.999	427	590	500.999	601	447.999	562.999
ENSMUSG00000000149	1992	1848	1905	1785	2360	2138	2381	1546	2270
ENSMUSG00000000154	7	4	7	4	6	2	1	10	2
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	0	0	0	0
ENSMUSG00000000167	7	3	4	21.001	18	7	14.001	4	16
ENSMUSG00000000168	5340	4546	5178	3425.001	4440	4031	4486	2950	4424.999
ENSMUSG00000000171	6422	5419	6102	3866	5441	5021	5426	3518	5506
ENSMUSG00000000182	217	178	208	95	161	132	213	140	189
ENSMUSG00000000183	0	0	0	0	0	0	0	2	0
ENSMUSG00000000184	1154	1034.999	1159.001	2093.999	2732	2639	3112	2024.001	3006
ENSMUSG00000000194	1767	1616.999	1830.999	1305	1856.999	1576.001	1937	1257.999	1907
ENSMUSG00000000197	1	0	1	0	0	0	1	0	0
