	D1	D2	D3	D4	D5	D6	D7	D8	D9
ENSMUSG00000000001	194.493623	190.113429	190.481887	208.182464	198.134011	194.513297	216.824842	222.23056	217.85812
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	61.267572	61.74414	59.474871	52.108028	56.98225	52.134616	54.90812	52.362524	54.94248
ENSMUSG00000000031	0.143825	0.07022	0.072878	0.070343	0.059678	0.053328	0.096003	0.11422	0.125397
ENSMUSG00000000037	4.016721	4.390732	4.475568	4.167862	3.944863	4.287846	3.774535	3.30936	5.206947
ENSMUSG00000000049	0.231125	0.036008	0.128311	0.137125	0.101226	0.105306	0.067855	0.201733	0.10167
ENSMUSG00000000056	39.133845	36.686275	36.7538	30.41448	32.644053	31.601415	32.813245	34.726081	32.548057
ENSMUSG00000000058	42.205385	40.085753	46.154546	47.58584	45.392319	43.290299	58.715875	55.803911	57.7504
ENSMUSG00000000078	44.888799	43.441415	45.186621	51.840469	49.05901	48.59337	59.930201	59.554979	58.741464
ENSMUSG00000000085	32.383919	28.664277	26.997698	27.431547	30.60491	27.999331	33.285813	30.198793	30.054839
ENSMUSG00000000088	362.818665	371.528101	373.197265	389.592791	393.787189	385.77465	396.055402	400.266161	382.937543
ENSMUSG00000000093	1.965078	2.081905	1.920697	2.908598	2.888952	3.078822	3.572778	3.870723	3.855366
ENSMUSG00000000094	0	0.025735	0	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	0	0.020534	0	0	0.030494	0.06151
ENSMUSG00000000125	0	0	0	0	0	0.024354	0.011574	0	0.05788
ENSMUSG00000000126	4.393264	4.439281	4.282385	2.776937	2.554574	2.460283	2.401162	1.905048	2.358981
ENSMUSG00000000127	16.636009	16.304199	16.616247	21.084502	20.374581	21.316848	20.248394	19.900332	19.968818
ENSMUSG00000000131	18.452657	18.401948	16.671401	20.552215	20.842092	18.678539	19.626986	19.729782	19.386239
ENSMUSG00000000134	28.275327	27.675611	29.350523	30.929593	31.986727	30.674785	31.000738	30.457751	28.53884
ENSMUSG00000000142	0.126828	0.373924	0.093483	0.06662	0.693719	0.103632	0.131	0.721089	0.106475
ENSMUSG00000000148	4.345419	4.486313	4.314086	6.181795	6.30716	5.668325	6.548084	7.123655	6.059843
ENSMUSG00000000149	19.960058	20.393444	18.914795	25.028913	24.521226	23.291644	24.632073	23.79257	23.489222
ENSMUSG00000000154	0.171788	0.105286	0.167545	0.136434	0.199823	0.058863	0.028329	0.42118	0.056613
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	0	0	0	0
ENSMUSG00000000167	0.475398	0.434424	0.410329	2.993326	1.366827	0.24003	0.805396	0.188974	0.653264
ENSMUSG00000000168	57.394744	53.398094	57.788591	49.081683	48.433332	49.092506	48.619171	48.748715	48.549962
ENSMUSG00000000171	203.440228	187.318832	187.914288	169.646859	176.266155	169.316834	176.673038	170.282312	179.093693
ENSMUSG00000000182	4.35982	3.921668	4.084112	2.65831	3.327866	2.855035	4.40912	4.309705	3.91093
ENSMUSG00000000183	0	0	0	0	0	0	0	0.022185	0
ENSMUSG00000000184	16.3962	13.646921	17.62512	25.496907	25.333784	27.155897	31.870914	24.165532	24.84224
ENSMUSG00000000194	19.968305	19.431342	21.404923	17.092749	21.87262	16.438373	22.41303	16.531123	20.753941
ENSMUSG00000000197	0.008793	0	0.014888	0	0	0	0.004796	0	0
ENSMUSG00000000202	0.106966	0.093786	0.208951	0.119109	0.263935	0.253016	0.242391	0.458755	0.264313
ENSMUSG00000000204	0	0	0	0	0	0	0	0	0
