UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
13	2
0	0
0	0
0	0
7	9
7	1182
125	1916
3	119
5	1214
3	0
20	26
5	1027
1	252
0	0
1	1087
1815	1580
0	1090
13	556
15	345
2	133
6	835
0	588
6	90
967	7493
0	7384
15	5
0	0
20	163
3	160
0	71
0	38
0	38
0	4
0	0
0	0
0	0
0	0
0	0
2	1665
20	2714
23	352
6	1774
2	266
0	46
20	2209
0	665
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	74
0	173
15	3
0	0
0	3
32	1884
2	156
0	17
4	922
2	1499
8	330
0	526
57	2
0	41
0	1
0	8
0	33
1	2
0	43
0	0
1	2
2	0
5	2
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	9
0	0
0	0
0	0
0	0
5	0
547	1858
18	262
5	11
0	1204
2	0
2	426
27	0
3	66
6	1703
3	1595
59	107
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	2
0	0
0	0
0	0
0	0
0	0
6	0
1	0
0	0
0	0
0	0
0	0
0	0
2	5
0	0
0	0
0	0
9	0
0	0
0	0
0	0
0	0
781	0
1	34
3	34
0	1
0	1
0	25
0	0
0	0
5	591
0	0
0	0
0	0
0	0
0	0
307	262
11	262
0	19
0	22
0	94
1405	0
0	34
0	34
0	1
0	1
0	0
0	0
0	0
0	0
3	26
1	28
0	28
0	0
0	23
1	22
3	0
0	0
0	26
0	1
0	3
0	23
0	468
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
147	910
0	598
0	187
0	53
0	467
50	669
6	434
1	151
0	155
0	115
0	125
1	49
0	443
0	1
0	339
0	144
1	415
0	185
2	25
0	76
0	445
6	185
0	0
59	54
0	54
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
174	3225
1	1190
40	1946
0	1003
21	2261
2	690
6	707
5	0
0	7
45	324
10	31
0	25
0	168
0	16
12	247
21	248
0	51
0	187
0	27
0	20
1	248
0	35
0	0
35	0
0	15
0	7
0	10
0	8
0	0
0	1
0	51
0	1
0	13
0	1
1	20
1008	3092
0	98
1	143
6	35
1	0
0	0
18	2814
0	0
1	63
0	359
0	1
