## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT D6.sorted.bam --OUTPUT D6.markdup.sorted.bam --METRICS_FILE D6.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Feb 21 16:21:43 CST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	40414942	7966480	0	0	11898359	1750625	0.294405	60110325

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.031801	22724303	0	23808395
2.0	1.558545	3962258	1451071	3195579
3.0	1.827453	932021	112511	717136
4.0	1.964733	339447	14289	286222
5.0	2.034816	167572	3258	149119
6.0	2.070593	98871	1162	89592
7.0	2.088858	64328	557	58766
8.0	2.098183	44115	294	40756
9.0	2.102943	32159	189	29793
10.0	2.105373	24133	139	22366
11.0	2.106614	18531	88	17234
12.0	2.107247	14696	43	13611
13.0	2.10757	11611	38	10832
14.0	2.107736	9650	25	9102
15.0	2.10782	8057	17	7563
16.0	2.107863	6916	10	6515
17.0	2.107885	5918	13	5499
18.0	2.107896	5084	17	4688
19.0	2.107902	4215	11	3886
20.0	2.107905	3713	6	3413
21.0	2.107906	3169	2	3050
22.0	2.107907	2798	5	2695
23.0	2.107907	2570	3	2352
24.0	2.107907	2220	3	2094
25.0	2.107908	1971	3	1821
26.0	2.107908	1779	3	1603
27.0	2.107908	1621	5	1538
28.0	2.107908	1429	1	1327
29.0	2.107908	1329	1	1216
30.0	2.107908	1180	4	1148
31.0	2.107908	1074	1	970
32.0	2.107908	957	1	960
33.0	2.107908	990	1	869
34.0	2.107908	820	0	817
35.0	2.107908	840	0	723
36.0	2.107908	694	0	690
37.0	2.107908	694	2	652
38.0	2.107908	636	1	598
39.0	2.107908	562	0	520
40.0	2.107908	543	0	496
41.0	2.107908	515	1	470
42.0	2.107908	461	2	468
43.0	2.107908	473	1	429
44.0	2.107908	398	0	392
45.0	2.107908	401	0	375
46.0	2.107908	373	0	326
47.0	2.107908	351	1	322
48.0	2.107908	318	0	318
49.0	2.107908	316	0	284
50.0	2.107908	300	0	253
51.0	2.107908	268	0	246
52.0	2.107908	236	0	251
53.0	2.107908	261	0	247
54.0	2.107908	225	0	225
55.0	2.107908	238	1	209
56.0	2.107908	211	0	193
57.0	2.107908	195	0	193
58.0	2.107908	203	1	178
59.0	2.107908	185	0	176
60.0	2.107908	161	0	164
61.0	2.107908	173	0	151
62.0	2.107908	153	0	147
63.0	2.107908	147	0	137
64.0	2.107908	149	0	121
65.0	2.107908	138	0	133
66.0	2.107908	138	0	115
67.0	2.107908	127	0	105
68.0	2.107908	119	0	110
69.0	2.107908	101	0	99
70.0	2.107908	104	0	88
71.0	2.107908	103	0	94
72.0	2.107908	94	0	113
73.0	2.107908	100	0	84
74.0	2.107908	77	0	87
75.0	2.107908	87	0	90
76.0	2.107908	95	0	90
77.0	2.107908	73	0	83
78.0	2.107908	94	0	78
79.0	2.107908	77	1	73
80.0	2.107908	74	0	66
81.0	2.107908	70	0	42
82.0	2.107908	64	0	66
83.0	2.107908	58	0	64
84.0	2.107908	66	0	67
85.0	2.107908	70	0	57
86.0	2.107908	61	0	59
87.0	2.107908	71	0	43
88.0	2.107908	46	0	34
89.0	2.107908	42	0	55
90.0	2.107908	46	0	49
91.0	2.107908	52	0	47
92.0	2.107908	42	0	40
93.0	2.107908	37	0	47
94.0	2.107908	45	0	47
95.0	2.107908	40	0	54
96.0	2.107908	61	0	37
97.0	2.107908	45	0	44
98.0	2.107908	40	0	52
99.0	2.107908	47	0	41
100.0	2.107908	40	0	29
101.0	0	43	0	35
102.0	0	46	0	41
103.0	0	33	0	36
104.0	0	36	0	37
105.0	0	42	0	23
106.0	0	26	0	26
107.0	0	23	0	22
108.0	0	38	0	28
109.0	0	24	0	31
110.0	0	24	0	20
111.0	0	25	0	29
112.0	0	22	0	20
113.0	0	20	0	27
114.0	0	33	0	27
115.0	0	31	0	26
116.0	0	22	0	22
117.0	0	27	0	27
118.0	0	18	0	25
119.0	0	26	0	22
120.0	0	25	0	15
121.0	0	21	0	22
122.0	0	29	0	19
123.0	0	20	0	15
124.0	0	14	0	14
125.0	0	18	0	20
126.0	0	24	0	14
127.0	0	16	0	13
128.0	0	13	0	17
129.0	0	21	0	31
130.0	0	16	0	13
131.0	0	11	0	16
132.0	0	14	0	11
133.0	0	14	0	9
134.0	0	15	0	15
135.0	0	24	0	14
136.0	0	13	0	12
137.0	0	10	0	13
138.0	0	13	0	10
139.0	0	15	0	12
140.0	0	18	0	16
141.0	0	7	0	14
142.0	0	12	0	15
143.0	0	14	0	16
144.0	0	9	0	15
145.0	0	16	0	11
146.0	0	17	0	9
147.0	0	19	0	4
148.0	0	14	0	11
149.0	0	12	0	11
150.0	0	11	0	9
151.0	0	9	0	9
152.0	0	11	0	10
153.0	0	6	0	5
154.0	0	8	0	7
155.0	0	7	0	8
156.0	0	8	0	10
157.0	0	6	0	13
158.0	0	7	0	14
159.0	0	4	0	11
160.0	0	6	0	11
161.0	0	18	0	9
162.0	0	7	0	13
163.0	0	11	0	12
164.0	0	14	0	8
165.0	0	7	0	5
166.0	0	11	0	9
167.0	0	14	0	9
168.0	0	9	0	5
169.0	0	6	0	8
170.0	0	10	0	5
171.0	0	3	0	9
172.0	0	8	0	5
173.0	0	14	0	7
174.0	0	8	0	6
175.0	0	7	0	5
176.0	0	9	0	10
177.0	0	5	0	5
178.0	0	6	0	8
179.0	0	2	0	4
180.0	0	8	0	10
181.0	0	4	0	5
182.0	0	10	0	4
183.0	0	6	0	7
184.0	0	6	0	5
185.0	0	7	0	5
186.0	0	4	0	7
187.0	0	3	0	6
188.0	0	8	0	6
189.0	0	9	0	5
190.0	0	7	0	3
191.0	0	1	0	3
192.0	0	6	0	4
193.0	0	9	0	7
194.0	0	8	0	5
195.0	0	4	0	4
196.0	0	3	0	5
197.0	0	3	0	3
198.0	0	4	0	4
199.0	0	6	0	9
200.0	0	2	0	3
201.0	0	2	0	4
202.0	0	6	0	3
203.0	0	8	0	5
204.0	0	9	0	3
205.0	0	2	0	1
206.0	0	5	0	1
207.0	0	3	0	8
208.0	0	2	0	3
209.0	0	0	0	2
210.0	0	2	0	6
211.0	0	4	0	3
212.0	0	5	0	2
213.0	0	3	0	1
214.0	0	5	0	4
215.0	0	2	0	0
216.0	0	3	0	3
217.0	0	7	0	3
218.0	0	1	0	4
219.0	0	1	0	2
220.0	0	2	0	6
221.0	0	3	0	3
222.0	0	2	0	2
223.0	0	5	0	1
224.0	0	1	0	4
225.0	0	2	0	1
226.0	0	4	0	2
227.0	0	2	0	3
228.0	0	3	0	1
229.0	0	3	0	2
230.0	0	4	0	6
231.0	0	2	0	1
232.0	0	1	0	2
233.0	0	5	0	3
234.0	0	2	0	2
235.0	0	4	0	2
236.0	0	2	0	2
237.0	0	2	0	3
238.0	0	2	0	0
239.0	0	3	0	2
240.0	0	1	0	2
241.0	0	2	0	2
242.0	0	3	0	5
243.0	0	0	0	1
244.0	0	2	0	2
245.0	0	2	0	1
246.0	0	2	0	4
247.0	0	3	0	5
248.0	0	2	0	3
249.0	0	2	0	5
250.0	0	2	0	2
251.0	0	3	0	1
252.0	0	0	0	5
253.0	0	3	0	4
254.0	0	3	0	1
255.0	0	4	0	3
256.0	0	3	0	3
257.0	0	3	0	1
258.0	0	5	0	6
259.0	0	4	0	1
260.0	0	3	0	0
261.0	0	2	0	1
262.0	0	4	0	2
263.0	0	1	0	1
264.0	0	3	0	0
265.0	0	1	0	1
267.0	0	3	0	1
268.0	0	5	0	1
269.0	0	0	0	1
270.0	0	1	0	2
271.0	0	2	0	0
272.0	0	3	0	2
273.0	0	1	0	0
274.0	0	0	0	1
275.0	0	0	0	3
276.0	0	0	0	4
277.0	0	1	0	1
278.0	0	0	0	2
279.0	0	1	0	2
280.0	0	2	0	2
281.0	0	2	0	0
282.0	0	3	0	2
283.0	0	1	0	0
284.0	0	2	0	2
285.0	0	0	0	1
286.0	0	1	0	0
287.0	0	2	0	1
288.0	0	1	0	3
289.0	0	5	0	1
290.0	0	0	0	1
291.0	0	1	0	1
292.0	0	1	0	0
293.0	0	1	0	0
295.0	0	2	0	1
297.0	0	2	0	1
298.0	0	1	0	2
299.0	0	0	0	1
300.0	0	1	0	0
301.0	0	1	0	1
303.0	0	1	0	1
304.0	0	1	0	1
305.0	0	1	0	1
307.0	0	0	0	1
308.0	0	1	0	0
309.0	0	2	0	2
310.0	0	0	0	1
311.0	0	1	0	2
312.0	0	0	0	2
313.0	0	1	0	0
314.0	0	1	0	0
315.0	0	3	0	2
316.0	0	0	0	2
319.0	0	1	0	1
320.0	0	2	0	0
321.0	0	2	0	0
322.0	0	1	0	1
326.0	0	0	0	1
328.0	0	1	0	1
329.0	0	2	0	1
330.0	0	0	0	2
332.0	0	0	0	1
333.0	0	1	0	0
335.0	0	1	0	1
338.0	0	1	0	0
339.0	0	1	0	0
340.0	0	1	0	0
341.0	0	1	0	0
342.0	0	2	0	0
344.0	0	1	0	2
345.0	0	0	0	1
347.0	0	0	0	1
348.0	0	0	0	1
350.0	0	0	0	1
351.0	0	1	0	1
352.0	0	0	0	2
353.0	0	1	0	1
354.0	0	1	0	1
355.0	0	1	0	1
356.0	0	1	0	1
357.0	0	0	0	2
358.0	0	1	0	0
360.0	0	1	0	0
362.0	0	1	0	0
363.0	0	1	0	0
364.0	0	1	0	0
365.0	0	1	0	1
366.0	0	1	0	0
367.0	0	1	0	0
372.0	0	1	0	0
374.0	0	1	0	0
375.0	0	0	0	1
377.0	0	1	0	0
378.0	0	0	0	1
382.0	0	0	0	1
387.0	0	0	0	2
388.0	0	1	0	0
390.0	0	0	0	2
391.0	0	2	0	0
393.0	0	0	0	2
396.0	0	1	0	2
397.0	0	0	0	1
400.0	0	1	0	0
401.0	0	2	0	0
402.0	0	0	0	1
405.0	0	1	0	0
406.0	0	0	0	1
407.0	0	0	0	1
409.0	0	0	0	2
411.0	0	2	0	0
414.0	0	1	0	0
416.0	0	1	0	1
417.0	0	1	0	0
418.0	0	0	0	1
419.0	0	0	0	2
420.0	0	1	0	0
424.0	0	1	0	0
425.0	0	1	0	0
426.0	0	2	0	0
428.0	0	0	0	1
429.0	0	0	0	1
433.0	0	0	0	2
434.0	0	0	0	1
440.0	0	2	0	0
442.0	0	0	0	2
445.0	0	3	0	0
446.0	0	2	0	0
449.0	0	2	0	0
459.0	0	0	0	1
464.0	0	0	0	1
465.0	0	1	0	0
467.0	0	1	0	0
469.0	0	0	0	1
471.0	0	0	0	1
473.0	0	0	0	1
478.0	0	1	0	0
479.0	0	1	0	0
484.0	0	0	0	1
486.0	0	1	0	1
494.0	0	1	0	0
495.0	0	0	0	1
500.0	0	2	0	0
503.0	0	0	0	1
508.0	0	0	0	1
509.0	0	1	0	0
515.0	0	1	0	0
524.0	0	0	0	1
527.0	0	0	0	1
528.0	0	1	0	1
538.0	0	1	0	0
540.0	0	0	0	1
541.0	0	1	0	1
545.0	0	0	0	1
546.0	0	1	0	0
555.0	0	0	0	1
556.0	0	1	0	0
558.0	0	0	0	1
561.0	0	1	0	0
565.0	0	1	0	0
568.0	0	1	0	0
583.0	0	1	0	1
589.0	0	0	0	1
597.0	0	1	0	0
607.0	0	0	0	1
611.0	0	1	0	0
613.0	0	0	0	1
623.0	0	1	0	0
626.0	0	0	0	1
631.0	0	1	0	0
635.0	0	1	0	0
645.0	0	0	0	1
658.0	0	1	0	0
667.0	0	0	0	1
690.0	0	1	0	0
720.0	0	0	0	1
721.0	0	0	0	1
739.0	0	1	0	0
740.0	0	1	0	0
743.0	0	0	0	1
754.0	0	0	0	1
765.0	0	1	0	0
773.0	0	1	0	0
789.0	0	0	0	1
802.0	0	0	0	1
806.0	0	1	0	0
817.0	0	1	0	0
963.0	0	0	0	1
988.0	0	1	0	0
1050.0	0	0	0	1
1056.0	0	0	0	1
1086.0	0	1	0	0
1092.0	0	1	0	0

