UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	4
4	888
78	1346
2	134
0	842
10	0
34	44
0	742
0	212
0	0
2	744
1330	1140
0	746
2	428
12	252
0	120
4	632
0	418
4	106
710	4992
6	4954
0	12
6	0
16	164
6	160
0	46
0	22
0	24
0	2
0	0
0	0
0	0
0	0
0	0
0	1130
12	1774
30	234
0	1146
0	212
0	16
20	1440
0	460
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	70
0	154
20	8
0	0
0	8
8	1522
0	108
2	22
0	764
0	1218
2	268
0	438
40	4
0	92
0	0
0	36
4	70
4	0
0	108
0	0
0	6
2	0
0	8
0	2
0	2
0	2
0	0
0	0
0	2
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	26
0	0
0	0
0	0
0	0
6	0
208	908
10	94
8	6
0	586
0	2
2	194
20	0
6	30
6	852
4	796
4	92
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	8
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
1150	2
0	32
2	32
0	2
0	2
0	24
0	0
0	0
2	986
0	2
0	2
0	0
0	0
0	0
394	282
16	282
0	28
2	18
0	82
1540	4
10	28
0	26
0	0
0	0
0	2
0	0
0	2
0	2
2	40
0	40
0	42
0	0
0	38
2	32
0	0
0	0
0	40
0	2
0	8
0	38
2	238
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
54	524
0	320
0	166
0	114
0	404
18	348
2	326
4	120
0	122
0	150
2	104
0	104
0	344
0	12
0	246
0	114
0	306
0	178
2	26
0	118
0	344
4	96
0	0
36	72
0	72
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
142	2738
2	1008
18	1638
0	812
16	1914
0	572
8	648
0	0
0	6
48	274
4	22
0	20
0	80
2	12
10	104
2	130
0	46
0	100
0	28
0	18
0	224
0	10
0	0
28	4
0	10
0	2
0	4
0	4
0	2
0	6
0	60
0	2
0	6
0	0
0	26
880	1686
0	98
0	112
2	56
0	2
0	0
2	1418
0	0
0	36
0	170
0	0
2	0
0	0
0	0
