## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT D1.sorted.bam --OUTPUT D1.markdup.sorted.bam --METRICS_FILE D1.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 20 04:23:29 CST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	8238	43759311	7844272	0	6776	12327831	2341850	0.28177	71444793

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.041052	25270603	0	26734332
2.0	1.6053	4271782	1852325	3227449
3.0	1.911123	981635	175615	697599
4.0	2.076878	348158	25320	276809
5.0	2.166717	168696	6087	144227
6.0	2.21541	98287	2232	86368
7.0	2.241801	63639	992	56989
8.0	2.256106	44188	623	39941
9.0	2.263858	32135	404	29125
10.0	2.26806	24196	261	22005
11.0	2.270338	19045	161	17028
12.0	2.271572	14573	134	13357
13.0	2.272241	11908	84	10841
14.0	2.272604	9616	81	8727
15.0	2.2728	8284	53	7546
16.0	2.272907	6657	35	6076
17.0	2.272965	5725	34	5243
18.0	2.272996	4850	21	4359
19.0	2.273013	4183	21	3873
20.0	2.273022	3722	14	3369
21.0	2.273027	3239	17	2996
22.0	2.27303	2832	12	2572
23.0	2.273031	2504	11	2314
24.0	2.273032	2217	7	2019
25.0	2.273033	2061	8	1928
26.0	2.273033	1826	4	1633
27.0	2.273033	1642	5	1580
28.0	2.273033	1557	5	1348
29.0	2.273033	1305	4	1232
30.0	2.273033	1179	2	1014
31.0	2.273033	1099	1	1002
32.0	2.273033	978	5	958
33.0	2.273033	980	5	894
34.0	2.273033	904	4	783
35.0	2.273033	809	3	736
36.0	2.273033	744	2	718
37.0	2.273033	689	2	663
38.0	2.273033	658	2	651
39.0	2.273033	622	0	580
40.0	2.273033	588	0	502
41.0	2.273033	529	1	465
42.0	2.273033	486	1	439
43.0	2.273033	485	1	427
44.0	2.273033	428	0	404
45.0	2.273033	427	1	359
46.0	2.273033	368	0	348
47.0	2.273033	340	1	319
48.0	2.273033	350	1	314
49.0	2.273033	309	1	305
50.0	2.273033	303	0	264
51.0	2.273033	284	0	246
52.0	2.273033	282	0	238
53.0	2.273033	273	0	239
54.0	2.273033	245	0	214
55.0	2.273033	210	0	186
56.0	2.273033	200	0	192
57.0	2.273033	205	0	185
58.0	2.273033	178	1	173
59.0	2.273033	174	0	160
60.0	2.273033	179	0	145
61.0	2.273033	161	0	149
62.0	2.273033	158	0	146
63.0	2.273033	136	0	128
64.0	2.273033	133	0	120
65.0	2.273033	130	0	125
66.0	2.273033	116	0	96
67.0	2.273033	122	0	119
68.0	2.273033	128	0	103
69.0	2.273033	114	0	105
70.0	2.273033	97	0	95
71.0	2.273033	95	0	69
72.0	2.273033	99	0	97
73.0	2.273033	89	0	104
74.0	2.273033	84	0	92
75.0	2.273033	87	0	82
76.0	2.273033	94	0	82
77.0	2.273033	75	0	71
78.0	2.273033	86	0	83
79.0	2.273033	81	0	82
80.0	2.273033	84	0	81
81.0	2.273033	95	0	74
82.0	2.273033	58	0	65
83.0	2.273033	73	0	58
84.0	2.273033	71	0	63
85.0	2.273033	76	0	67
86.0	2.273033	71	0	54
87.0	2.273033	59	0	62
88.0	2.273033	52	0	49
89.0	2.273033	72	0	50
90.0	2.273033	37	0	40
91.0	2.273033	59	0	46
92.0	2.273033	55	0	35
93.0	2.273033	40	0	36
94.0	2.273033	53	0	42
