ID,HW_minutes,Midnight_deadline,Fall_semester,Female,Section,Year_in_school,GPA,ACT,Major_BA,Major_Finance,Major_Accounting,Major_Marketing,Major_Management,Major_Sport,Q1_HW_effective,Q2_deadline_effect,Q3_deadline_stress,Q4_average_time,Q5_preferred_time,Q6_extensions,Q7_late_turnins,Grade_course,Grade_HW
1001,673,1,1,1,21,2,3.93,33,0,0,1,0,0,0,5,5,5,90,4,0,0,1.006457961,0.998841463
1002,394,0,1,0,22,4,3.64,N/A,0,1,0,0,0,0,5,4,3,90,2,0,0,0.871860465,0.864268293
1003,943,0,1,0,22,3,3.26,N/A,0,1,0,0,0,0,4,3,3,120,4,0,1.5,0.820679785,0.734817073
1004,334,0,0,0,11,2,3.625,28,0,0,0,1,0,0,3,4,3,25,4,0,0,94.5,90.6
1005,976,1,0,1,12,2,3.804,28,0,0,0,1,0,0,4,3,3,105,4,0,0,94.2,92.9
1006,551,0,0,0,11,4,3.063,22,0,1,0,0,0,0,4,2,2,60,5,0,2.5,83.1,64.3
1007,1096,0,1,1,22,2,3.22,22,0,0,0,1,0,0,2,2,2,210,5,0,0,0.923184258,0.902012195
1008,514,1,1,0,21,3,3.75,26,0,0,0,0,1,0,5,4,3,38,2,0,0,0.870554562,0.82097561
1009,1886,0,0,0,11,3,4,25,0,1,0,0,0,0,4,3,4,90,2,0,0,100.4,99.8
1010,755,1,1,0,21,2,3.64,18,0,0,0,0,1,0,5,4,3,180,4,1,0,0.87745975,0.93597561
1011,320,1,0,1,12,3,3.083,31,0,0,1,0,0,0,3,4,2,60,5,4,1,75.8,48.8
1012,1393,0,0,0,11,3,4,28,0,0,0,1,0,0,4,2,3,60,4,0,0,97.4,95.7
1013,1041,0,0,1,11,3,3.875,21,0,0,1,0,0,0,4,3,2,60,4,0,0,99.6,100
1014,847,1,1,0,21,2,3.93,N/A,1,0,0,0,0,0,5,3,3,38,5,0,2,0.695402504,0.502621951
1015,275,1,1,0,21,2,2.44,30,0,1,0,0,0,0,3,3,3,0,4,0,0,0.974007156,0.950731707
1016,226,0,0,0,11,2,3.622,31,0,0,0,1,0,0,2,3,2,120,2,0,2,83.1,60
