Sample	Unique Reads	Duplicate Reads
C1_A_CKDL260002520-1A_2372W3LT4_L5_1	96969.0	728605.0
C1_A_CKDL260002520-1A_2372W3LT4_L5_2	85525.0	740049.0
C1_A_CKDL260002520-1A_23757VLT4_L4_1	1086229.0	18745883.0
C1_A_CKDL260002520-1A_23757VLT4_L4_2	1029520.0	18802592.0
C1_B_CKDL260002520-1A_2372W3LT4_L5_1	138240.0	966412.0
C1_B_CKDL260002520-1A_2372W3LT4_L5_2	123132.0	981520.0
C1_B_CKDL260002520-1A_23757VLT4_L4_1	1654278.0	25931905.0
C1_B_CKDL260002520-1A_23757VLT4_L4_2	1596243.0	25989940.0
C1_C_CKDL260002520-1A_2372W3LT4_L5_1	150229.0	1177482.0
C1_C_CKDL260002520-1A_2372W3LT4_L5_2	139980.0	1187731.0
C1_C_CKDL260002520-1A_23757VLT4_L4_1	1766613.0	32429560.0
C1_C_CKDL260002520-1A_23757VLT4_L4_2	1780420.0	32415753.0
C1_D_CKDL260002520-1A_2372W3LT4_L5_1	88221.0	573430.0
C1_D_CKDL260002520-1A_2372W3LT4_L5_2	76551.0	585100.0
C1_D_CKDL260002520-1A_23757VLT4_L4_1	1100428.0	16624586.0
C1_D_CKDL260002520-1A_23757VLT4_L4_2	1062487.0	16662527.0
C2_A_CKDL260002520-1A_2372W3LT4_L5_1	120356.0	850644.0
C2_A_CKDL260002520-1A_2372W3LT4_L5_2	107482.0	863518.0
C2_A_CKDL260002520-1A_23757VLT4_L4_1	1528035.0	24348235.0
C2_A_CKDL260002520-1A_23757VLT4_L4_2	1480163.0	24396107.0
C2_B_CKDL260002520-1A_2372W3LT4_L5_1	122987.0	755374.0
C2_B_CKDL260002520-1A_2372W3LT4_L5_2	109565.0	768796.0
C2_B_CKDL260002520-1A_23757VLT4_L4_1	1608751.0	21852607.0
C2_B_CKDL260002520-1A_23757VLT4_L4_2	1557902.0	21903456.0
C2_C_CKDL260002520-1A_2372W3LT4_L5_1	109127.0	730440.0
C2_C_CKDL260002520-1A_2372W3LT4_L5_2	96233.0	743334.0
C2_C_CKDL260002520-1A_23757VLT4_L4_1	1387179.0	21055444.0
C2_C_CKDL260002520-1A_23757VLT4_L4_2	1328051.0	21114572.0
C2_D_CKDL260002520-1A_2372W3LT4_L5_1	148855.0	1069996.0
C2_D_CKDL260002520-1A_2372W3LT4_L5_2	133942.0	1084909.0
C2_D_CKDL260002520-1A_23757VLT4_L4_1	1870913.0	29875001.0
C2_D_CKDL260002520-1A_23757VLT4_L4_2	1799932.0	29945982.0
C3_A_CKDL260002520-1A_2372W3LT4_L5_1	143241.0	1084986.0
C3_A_CKDL260002520-1A_2372W3LT4_L5_2	127483.0	1100744.0
C3_A_CKDL260002520-1A_23757VLT4_L4_1	1771215.0	30621010.0
C3_A_CKDL260002520-1A_23757VLT4_L4_2	1689689.0	30702536.0
C3_B_CKDL260002520-1A_2372W3LT4_L5_1	118425.0	754479.0
C3_B_CKDL260002520-1A_2372W3LT4_L5_2	100771.0	772133.0
C3_B_CKDL260002520-1A_23757VLT4_L4_1	1485435.0	20682263.0
C3_B_CKDL260002520-1A_23757VLT4_L4_2	1439847.0	20727851.0
C3_C_CKDL260002520-1A_2372W3LT4_L5_1	124439.0	856859.0
C3_C_CKDL260002520-1A_2372W3LT4_L5_2	111875.0	869423.0
C3_C_CKDL260002520-1A_23757VLT4_L4_1	1591008.0	25282904.0
C3_C_CKDL260002520-1A_23757VLT4_L4_2	1569442.0	25304470.0
C3_D_CKDL260002520-1A_2372W3LT4_L5_1	171921.0	1230780.0
C3_D_CKDL260002520-1A_2372W3LT4_L5_2	154282.0	1248419.0
C3_D_CKDL260002520-1A_23757VLT4_L4_1	2154222.0	34995294.0
C3_D_CKDL260002520-1A_23757VLT4_L4_2	2124554.0	35024962.0
ch_1A_CKDL260002520-1A_2372W3LT4_L5_1	118820.0	958080.0
ch_1A_CKDL260002520-1A_2372W3LT4_L5_2	106295.0	970605.0
ch_1A_CKDL260002520-1A_23757VLT4_L4_1	1402840.0	26199001.0
ch_1A_CKDL260002520-1A_23757VLT4_L4_2	1332854.0	26268987.0
ch_1B_CKDL260002520-1A_2372W3LT4_L5_1	120109.0	916339.0
ch_1B_CKDL260002520-1A_2372W3LT4_L5_2	114981.0	921467.0
ch_1B_CKDL260002520-1A_23757VLT4_L4_1	1496961.0	29474393.0
ch_1B_CKDL260002520-1A_23757VLT4_L4_2	1580250.0	29391104.0
ch_1C_CKDL260002520-1A_2372W3LT4_L5_1	93801.0	789208.0
ch_1C_CKDL260002520-1A_2372W3LT4_L5_2	83628.0	799381.0
ch_1C_CKDL260002520-1A_23757VLT4_L4_1	1104777.0	22213447.0
ch_1C_CKDL260002520-1A_23757VLT4_L4_2	1058522.0	22259702.0
ch_1D_CKDL260002520-1A_2372W3LT4_L5_1	83815.0	697787.0
ch_1D_CKDL260002520-1A_2372W3LT4_L5_2	73096.0	708506.0
ch_1D_CKDL260002520-1A_23757VLT4_L4_1	980809.0	19841294.0
ch_1D_CKDL260002520-1A_23757VLT4_L4_2	920415.0	19901688.0
ch_2A_CKDL260002520-1A_2372W3LT4_L5_1	100799.0	754085.0
ch_2A_CKDL260002520-1A_2372W3LT4_L5_2	95523.0	759361.0
ch_2A_CKDL260002520-1A_23757VLT4_L4_1	1277258.0	20155821.0
ch_2A_CKDL260002520-1A_23757VLT4_L4_2	1227558.0	20205521.0
ch_2B_CKDL260002520-1A_2372W3LT4_L5_1	77251.0	669333.0
ch_2B_CKDL260002520-1A_2372W3LT4_L5_2	75112.0	671472.0
ch_2B_CKDL260002520-1A_23757VLT4_L4_1	916812.0	18476935.0
ch_2B_CKDL260002520-1A_23757VLT4_L4_2	968731.0	18425016.0
ch_2C_CKDL260002520-1A_2372W3LT4_L5_1	137661.0	1007295.0
ch_2C_CKDL260002520-1A_2372W3LT4_L5_2	122719.0	1022237.0
ch_2C_CKDL260002520-1A_23757VLT4_L4_1	1706223.0	28408840.0
ch_2C_CKDL260002520-1A_23757VLT4_L4_2	1642709.0	28472354.0
ch_2D_CKDL260002520-1A_2372W3LT4_L5_1	100560.0	750675.0
ch_2D_CKDL260002520-1A_2372W3LT4_L5_2	90370.0	760865.0
ch_2D_CKDL260002520-1A_23757VLT4_L4_1	1250329.0	20104924.0
ch_2D_CKDL260002520-1A_23757VLT4_L4_2	1163651.0	20191602.0
ch_3A_CKDL260002520-1A_2372W3LT4_L5_1	141317.0	904216.0
ch_3A_CKDL260002520-1A_2372W3LT4_L5_2	128690.0	916843.0
ch_3A_CKDL260002520-1A_23757VLT4_L4_1	1827334.0	25312837.0
