Module	Section	Sample Name	Source
FastQC	all_sections	C1_A_CKDL260002520-1A_2372W3LT4_L5_1	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_A_CKDL260002520-1A_2372W3LT4_L5_1_fastqc.zip
FastQC	all_sections	C1_A_CKDL260002520-1A_2372W3LT4_L5_2	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_A_CKDL260002520-1A_2372W3LT4_L5_2_fastqc.zip
FastQC	all_sections	C1_A_CKDL260002520-1A_23757VLT4_L4_1	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_A_CKDL260002520-1A_23757VLT4_L4_1_fastqc.zip
FastQC	all_sections	C1_A_CKDL260002520-1A_23757VLT4_L4_2	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_A_CKDL260002520-1A_23757VLT4_L4_2_fastqc.zip
FastQC	all_sections	C1_B_CKDL260002520-1A_2372W3LT4_L5_1	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_B_CKDL260002520-1A_2372W3LT4_L5_1_fastqc.zip
FastQC	all_sections	C1_B_CKDL260002520-1A_2372W3LT4_L5_2	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_B_CKDL260002520-1A_2372W3LT4_L5_2_fastqc.zip
FastQC	all_sections	C1_B_CKDL260002520-1A_23757VLT4_L4_1	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_B_CKDL260002520-1A_23757VLT4_L4_1_fastqc.zip
FastQC	all_sections	C1_B_CKDL260002520-1A_23757VLT4_L4_2	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_B_CKDL260002520-1A_23757VLT4_L4_2_fastqc.zip
FastQC	all_sections	C1_C_CKDL260002520-1A_2372W3LT4_L5_1	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_C_CKDL260002520-1A_2372W3LT4_L5_1_fastqc.zip
FastQC	all_sections	C1_C_CKDL260002520-1A_2372W3LT4_L5_2	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_C_CKDL260002520-1A_2372W3LT4_L5_2_fastqc.zip
FastQC	all_sections	C1_C_CKDL260002520-1A_23757VLT4_L4_1	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_C_CKDL260002520-1A_23757VLT4_L4_1_fastqc.zip
FastQC	all_sections	C1_C_CKDL260002520-1A_23757VLT4_L4_2	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_C_CKDL260002520-1A_23757VLT4_L4_2_fastqc.zip
FastQC	all_sections	C1_D_CKDL260002520-1A_2372W3LT4_L5_1	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_D_CKDL260002520-1A_2372W3LT4_L5_1_fastqc.zip
FastQC	all_sections	C1_D_CKDL260002520-1A_2372W3LT4_L5_2	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_D_CKDL260002520-1A_2372W3LT4_L5_2_fastqc.zip
FastQC	all_sections	C1_D_CKDL260002520-1A_23757VLT4_L4_1	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_D_CKDL260002520-1A_23757VLT4_L4_1_fastqc.zip
FastQC	all_sections	C1_D_CKDL260002520-1A_23757VLT4_L4_2	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C1_D_CKDL260002520-1A_23757VLT4_L4_2_fastqc.zip
FastQC	all_sections	C2_A_CKDL260002520-1A_2372W3LT4_L5_1	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C2_A_CKDL260002520-1A_2372W3LT4_L5_1_fastqc.zip
FastQC	all_sections	C2_A_CKDL260002520-1A_2372W3LT4_L5_2	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C2_A_CKDL260002520-1A_2372W3LT4_L5_2_fastqc.zip
FastQC	all_sections	C2_A_CKDL260002520-1A_23757VLT4_L4_1	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C2_A_CKDL260002520-1A_23757VLT4_L4_1_fastqc.zip
FastQC	all_sections	C2_A_CKDL260002520-1A_23757VLT4_L4_2	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C2_A_CKDL260002520-1A_23757VLT4_L4_2_fastqc.zip
FastQC	all_sections	C2_B_CKDL260002520-1A_2372W3LT4_L5_1	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C2_B_CKDL260002520-1A_2372W3LT4_L5_1_fastqc.zip
FastQC	all_sections	C2_B_CKDL260002520-1A_2372W3LT4_L5_2	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C2_B_CKDL260002520-1A_2372W3LT4_L5_2_fastqc.zip
FastQC	all_sections	C2_B_CKDL260002520-1A_23757VLT4_L4_1	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C2_B_CKDL260002520-1A_23757VLT4_L4_1_fastqc.zip
FastQC	all_sections	C2_B_CKDL260002520-1A_23757VLT4_L4_2	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C2_B_CKDL260002520-1A_23757VLT4_L4_2_fastqc.zip
FastQC	all_sections	C2_C_CKDL260002520-1A_2372W3LT4_L5_1	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C2_C_CKDL260002520-1A_2372W3LT4_L5_1_fastqc.zip
FastQC	all_sections	C2_C_CKDL260002520-1A_2372W3LT4_L5_2	/Work_bio/gao/projects/2026_Item2_0205_contamination_athenomics/qc_results/fastqc/C2_C_CKDL260002520-1A_2372W3LT4_L5_2_fastqc.zip
