Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
C1_A_CKDL260002520-1A_2372W3LT4_L5_1	88.25435394040994	62.0	150.0	150	27.27272727272727	0.8255739999999999
C1_A_CKDL260002520-1A_2372W3LT4_L5_2	89.64054100540957	61.0	150.0	150	18.181818181818183	0.8255739999999999
C1_A_CKDL260002520-1A_23757VLT4_L4_1	94.52288057267319	61.0	150.0	150	18.181818181818183	19.832112
C1_A_CKDL260002520-1A_23757VLT4_L4_2	94.8088232371104	61.0	150.0	150	27.27272727272727	19.832112
C1_B_CKDL260002520-1A_2372W3LT4_L5_1	87.48572212767236	61.0	150.0	150	27.27272727272727	1.104652
C1_B_CKDL260002520-1A_2372W3LT4_L5_2	88.85336608519796	60.0	150.0	150	27.27272727272727	1.104652
C1_B_CKDL260002520-1A_23757VLT4_L4_1	94.00323791885201	60.0	150.0	150	27.27272727272727	27.586183
C1_B_CKDL260002520-1A_23757VLT4_L4_2	94.21361595870017	60.0	150.0	150	27.27272727272727	27.586183
C1_C_CKDL260002520-1A_2372W3LT4_L5_1	88.68518141579841	61.0	150.0	150	27.27272727272727	1.3277109999999999
C1_C_CKDL260002520-1A_2372W3LT4_L5_2	89.45709016010676	60.0	150.0	150	27.27272727272727	1.3277109999999999
C1_C_CKDL260002520-1A_23757VLT4_L4_1	94.83388705253645	60.0	150.0	150	27.27272727272727	34.196173
C1_C_CKDL260002520-1A_23757VLT4_L4_2	94.79351379175095	60.0	150.0	150	27.27272727272727	34.196173
C1_D_CKDL260002520-1A_2372W3LT4_L5_1	86.66653568119749	61.0	150.0	150	18.181818181818183	0.661651
C1_D_CKDL260002520-1A_2372W3LT4_L5_2	88.4303054026972	61.0	150.0	150	27.27272727272727	0.661651
C1_D_CKDL260002520-1A_23757VLT4_L4_1	93.79166830924734	61.0	150.0	150	18.181818181818183	17.725013999999998
C1_D_CKDL260002520-1A_23757VLT4_L4_2	94.0057226561571	60.0	150.0	150	27.27272727272727	17.725013999999998
C2_A_CKDL260002520-1A_2372W3LT4_L5_1	87.60501556293202	61.0	150.0	150	27.27272727272727	0.971
C2_A_CKDL260002520-1A_2372W3LT4_L5_2	88.93081404052727	61.0	150.0	150	18.181818181818183	0.971
C2_A_CKDL260002520-1A_23757VLT4_L4_1	94.09484170201708	61.0	150.0	150	27.27272727272727	25.876269999999998
C2_A_CKDL260002520-1A_23757VLT4_L4_2	94.27984485693922	60.0	150.0	150	27.27272727272727	25.876269999999998
C2_B_CKDL260002520-1A_2372W3LT4_L5_1	85.99820727107546	61.0	150.0	150	18.181818181818183	0.878361
