task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	dd/0d3cd5	2193409	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-04-01 22:44:17.872	16.7s	16s	69.4%	18.5 MB	37.7 MB	2.9 GB	14.2 KB
2	a5/4713b2	2193417	NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER (GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-04-01 22:44:17.880	28.3s	28s	76.3%	18 MB	23 MB	4.4 GB	1.5 GB
29	60/b4334d	2200701	NFCORE_RNASEQ:PREPARE_GENOME:GTF2BED (GRCh38.primary_assembly.genome.filtered.gtf)	COMPLETED	0	2026-04-01 22:44:47.180	39.5s	38s	100.3%	3.6 GB	3.6 GB	1.5 GB	30.9 MB
18	9a/d6b4a5	2193402	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Q65R_2)	COMPLETED	0	2026-04-01 22:44:17.858	10m 48s	10m 47s	720.5%	5.7 GB	7 GB	117.7 GB	114.4 GB
7	87/7e47a0	2235758	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Mock_2)	COMPLETED	0	2026-04-01 22:55:05.436	3m 8s	3m 8s	194.0%	10.4 GB	40.6 GB	3.2 GB	4.6 MB
21	c7/deeac3	2235750	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (vpr_1)	COMPLETED	0	2026-04-01 22:55:05.428	3m 59s	3m 59s	196.6%	10.1 GB	40.8 GB	3.8 GB	4.6 MB
22	97/3c5ec9	2243833	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (vpr_2)	COMPLETED	0	2026-04-01 22:58:13.914	3m 41s	3m 40s	191.7%	10.1 GB	40.7 GB	3.2 GB	4.6 MB
16	e8/64f1ce	2246285	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_2)	COMPLETED	0	2026-04-01 22:59:04.152	3m 2s	3m 1s	194.6%	9.4 GB	40.8 GB	2.8 GB	4.6 MB
26	fc/7331df	2254556	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Q65R_3)	COMPLETED	0	2026-04-01 23:02:05.852	2m 55s	2m 54s	194.6%	9.6 GB	40.4 GB	2.9 GB	4.6 MB
13	5d/6f0d16	2253235	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_1)	COMPLETED	0	2026-04-01 23:01:54.736	3m 14s	3m 13s	196.1%	9.4 GB	40.7 GB	3.2 GB	4.6 MB
10	ef/c3f752	2263063	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Mock_3)	COMPLETED	0	2026-04-01 23:05:08.330	3m 12s	3m 12s	176.3%	9 GB	40.7 GB	2.8 GB	4.6 MB
4	69/f8fc20	2261838	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Mock_1)	COMPLETED	0	2026-04-01 23:05:00.396	3m 33s	3m 33s	180.6%	9.7 GB	40.8 GB	3.1 GB	4.6 MB
23	f0/8b356d	2271886	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (vpr_3)	COMPLETED	0	2026-04-01 23:08:20.759	3m 8s	3m 7s	198.3%	9.8 GB	40.7 GB	3 GB	4.6 MB
20	c8/a9219c	2273001	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_3)	COMPLETED	0	2026-04-01 23:08:33.106	3m 52s	3m 52s	197.6%	8.8 GB	40.7 GB	3.9 GB	4.6 MB
