Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000102269	Gm7357	1	+	4593128	4596960	0.000000	0.000000	0.000000
ENSMUSG00000098104	Gm6085	1	-	4758157	4759626	0.677551	0.082360	0.175447
ENSMUSG00000103922	Gm6123	1	+	4841354	4842422	1.932647	0.234923	0.500445
ENSMUSG00000033845	Mrpl15	1	-	4843429	4855962	45.274832	12.959759	27.607485
ENSMUSG00000102275	Gm37144	1	-	4848286	4849435	1.664348	0.202310	0.430971
ENSMUSG00000103280	Gm37277	1	-	4975974	4977084	1.219622	0.148251	0.315812
ENSMUSG00000025903	Lypla1	1	+	4878011	4918633	86.804536	30.916002	65.858713
ENSMUSG00000104217	Gm37988	1	+	4878115	4956993	0.420846	0.051156	0.108975
ENSMUSG00000033813	Tcea1	1	+	4928037	4968132	105.108291	59.463952	126.672893
ENSMUSG00000062588	Gm6104	1	-	4950272	4950874	17.262023	2.098289	4.469874
ENSMUSG00000002459	Rgs20	1	-	4979799	5140508	4.483535	3.340011	7.115049
ENSMUSG00000091305	Gm17100	1	-	4997251	4997522	0.000000	0.000000	0.000000
ENSMUSG00000102653	Gm37079	1	-	5008799	5010933	0.000000	0.000000	0.000000
ENSMUSG00000085623	Gm16041	1	+	5041080	5047043	0.000000	0.000000	0.000000
ENSMUSG00000091665	Gm17101	1	+	5133283	5134870	0.000000	0.000000	0.000000
ENSMUSG00000033793	Atp6v1h	1	+	5140241	5232752	43.663661	28.313140	60.313975
ENSMUSG00000087247	Alkal1	1	+	6429442	6464955	0.000000	0.000000	0.000000
ENSMUSG00000103355	Gm2147	1	+	6450618	6451256	2.381847	0.289526	0.616762
ENSMUSG00000102706	Gm7417	1	-	6452858	6453330	1.105708	0.134405	0.286315
ENSMUSG00000103845	Gm19026	1	-	6499879	6511520	0.000000	0.000000	0.000000
ENSMUSG00000090031	4732440D04Rik	1	-	6234353	6285517	0.812589	0.122236	0.260392
ENSMUSG00000025907	Rb1cc1	1	+	6276421	6346872	17.501477	12.064535	25.700438
ENSMUSG00000033740	St18	1	+	6557455	6931164	0.043812	0.012378	0.026369
ENSMUSG00000102135	Gm37108	1	+	6986783	6993812	0.000000	0.000000	0.000000
ENSMUSG00000120372	Gm57122	1	-	7158447	7159048	2.395349	0.291167	0.620258
ENSMUSG00000051285	Pcmtd1	1	+	7159144	7243852	40.469867	7.707217	16.418274
ENSMUSG00000098201	Gm26983	1	-	7206423	7206810	3.158505	0.383933	0.817872
ENSMUSG00000103509	Gm38372	1	+	7218334	7222361	1.159881	0.140990	0.300343
ENSMUSG00000048538	Gm9826	1	+	7247963	7249261	15.428542	1.875420	3.995107
ENSMUSG00000101571	Gm6187	1	-	9466998	9468912	0.000000	0.000000	0.000000
ENSMUSG00000061024	Rrs1	1	+	9615633	9617680	136.004395	16.532044	35.217335
ENSMUSG00000025911	Adhfe1	1	+	9618173	9650898	2.552116	0.362039	0.771232
ENSMUSG00000079671	2610203C22Rik	1	-	9630705	9701406	0.000000	0.000000	0.000000
ENSMUSG00000081441	Gm6161	1	+	9644773	9645874	18.455229	2.243329	4.778845
ENSMUSG00000067879	Vxn	1	+	9671424	9697368	0.000000	0.000000	0.000000
